ISBN,상품명,저자,출판사,분야,권수,누적권수
3904000504971.0,보그(2025년 02월호)(F형),두산매거진 편집부,두산매거진,잡지,1.0,226.0
9791141601478.0,세 중국인의 삶,다이 시지에,문학동네,소설,1.0,227.0
9791193282090.0,당신에게 분명 좋은 일만 생길 거예요,이슬비,다담북스,시/에세이,1.0,228.0
9791198889515.0,너무 애쓰지 마라,오타 하지메,윌마,인문,1.0,229.0
3904000505763.0,지큐 코리아(GQ KOREA)(2025년 02월호)(A형),두산매거진 편집부,두산매거진,잡지,1.0,230.0
9791161693293.0,검찰수사관 최수호,전건우 외,서랍의날씨,소설,1.0,231.0
9791197647666.0,기분이 태도가 되지 말자 (20만부 기념),김수현(훈글),하이스트,시/에세이,1.0,232.0
9788932043401.0,역사와 사회적 상상에 관한 대화,폴 리쾨르 외,문학과지성사,인문,1.0,233.0
3904000505770.0,지큐 코리아(GQ KOREA)(2025년 02월호)(B형),두산매거진 편집부,두산잡지BU,잡지,1.0,234.0
9791167375186.0,존애원1: 존심애물,하용준,은행나무,소설,1.0,235.0
9791193001608.0,내 사랑의 반은 첫사랑이었네,노두식,문학세계사,시/에세이,1.0,236.0
3904000505787.0,지큐 코리아(GQ KOREA)(2025년 02월호)(C형),두산매거진 편집부,두산매거진,잡지,1.0,237.0
9791167375193.0,존애원2: 구료제민,하용준,은행나무,소설,1.0,238.0
9791194530008.0,그때 뽑은 흰머리 지금 아쉬워,공익사단법인 전국유료실버타운협회‧포푸라샤 편집부,포레스트북스,시/에세이,1.0,239.0
9791191669817.0,알아두면 쓸모 있는 독음이 같은 한자,강경희,정민미디어,인문,1.0,240.0
3904000505794.0,지큐 코리아(GQ KOREA)(2025년 02월호)(D형),두산매거진 편집부,두산매거진,잡지,1.0,241.0
9791167902887.0,부적격자의 차트,연여름,현대문학,소설,1.0,242.0
9791199055605.0,세상 끝 책방 이야기,루스 쇼,그림나무,시/에세이,1.0,243.0
9788969526076.0,잘난 척하고 싶을 때 써먹기 좋은 잡학상식 2,앤드류,경향BP,인문,1.0,244.0
3904000504339.0,어린이 과학동아(2025년 01월 15일자)(2호),동아사이언스 편집부,동아사이언스,잡지,1.0,245.0
9791170525295.0,데드 스페이스,칼리 월리스,황금가지,소설,1.0,246.0
9791141608279.0,독설의 팡세,에밀 시오랑,문학동네,시/에세이,1.0,247.0
9791193941270.0,마음의 소란을 다스리는 철학의 문장들,제갈건,클랩북스,인문,1.0,248.0
3904000504353.0,어린이 수학동아(2025년 01월 15일자)(2호),동아사이언스 편집부,동아사이언스,잡지,1.0,249.0
9791170612179.0,뱅상 식탁,설재인,북다,소설,1.0,250.0
9791170872849.0,우리의 실패가 쌓여 우주가 된다,김지은,휴머니스트,시/에세이,1.0,251.0
9791166571800.0,세계 추리소설 필독서 50,무경 외,센시오,인문,1.0,252.0
9791191824469.0,악의 주장법,허진희,자이언트북스,소설,1.0,253.0
9791193937433.0,성난 파도 다스리기,덩 밍다오,북플레저,시/에세이,1.0,254.0
9791189143534.0,마음만은 건축주,윤우영,이데아,인문,1.0,255.0
9791193939215.0,버리지 못하는 사람들,무레 요코,라곰,소설,1.0,256.0
9791192886725.0,2028 거리에서 서점이 사라진다면,고지마 슌이치,마인드빌딩,인문,1.0,257.0
9791193401378.0,쓸수록 선명해진다,앨리슨 존스,프런트페이지,인문,1.0,258.0
9791192642109.0,철학자의 눈으로 본 십자군 전쟁,박승찬,오르골,인문,1.0,259.0
9791193378328.0,쓰기의 미래,나오미 배런,북트리거,인문,1.0,260.0
9791173550379.0,진짜 쉬운 파닉스는 이렇게 배웁니다,윤선미(선샤인),미다스북스,가정/육아,2.0,262.0
9788936431518.0,울지 않는 달,이지은,창비,청소년,1.0,263.0
9791198559302.0,히데코의 일본 요리,나카가와 히데코,북스레브쿠헨,요리,1.0,264.0
9791169512459.0,영어 스피킹 기적의 7법칙,윌리엄 A. 반스,로그인,외국어,1.0,265.0
9791192907659.0,그림 따지는 변호사,이재훈,예미,예술/대중문화,1.0,266.0
9791141601492.0,삼국지톡 9,무적핑크,문학동네,역사/문화,1.0,267.0
9791155817346.0,눈에 보이지 않는 돈의 지도책,다리우시 보이치크,윌북,정치/사회,3.0,270.0
9791193790656.0,해리 포터와 마법사의 돌,J.K. 롤링,문학수첩,소설,1.0,271.0
3904000503943.0,보드게임(2025년 01/02월호),코리아보드게임즈 편집부,코리아보드게임즈,잡지,1.0,272.0
9788901290676.0,저 별은 어떻게 내가 되었을까,그레그 브레네카,웅진지식하우스,과학,1.0,273.0
9791194294078.0,대한민국 구석구석 무장애 여행,전윤선,나무발전소,여행,1.0,274.0
9791141601546.0,나직이 불러보는 이름들,이동순,문학동네,시/에세이,1.0,275.0
9791185324777.0,트라우마의 도,ALAINE D. DUNCAN 외,삶과지식,건강,1.0,276.0
9791140711970.0,기록이라는 세계,리니,더퀘스트,자기계발,2.0,278.0
9791191378641.0,SKY 입시생 중등 필독서,박은선 외,체인지업,청소년,1.0,279.0
9791142303890.0,칵테일 수업,루 부스타만테,니들북,요리,1.0,280.0
9791171011315.0,토익 답이 되는 단어들,김대균,사람in,외국어,1.0,281.0
9788984078574.0,유물멍,국립중앙박물관 편집부,세종서적,예술/대중문화,1.0,282.0
9791198545350.0,대치동 수학 고민 상담소,김현정,브리드북스,가정/육아,1.0,283.0
9791139718713.0,국화와 칼,루스 베네딕트,현대지성,역사/문화,1.0,284.0
9791191998375.0,나라를 위해서 일한다는 거짓말,노한동,사이드웨이,정치/사회,3.0,287.0
9791193790663.0,해리 포터와 비밀의 방,J.K. 롤링,문학수첩,소설,1.0,288.0
3904000503813.0,브리드(Breathe)(24호),브리드코리아 편집부,브리드코리아,잡지,1.0,289.0
9791171179251.0,똥,브린 넬슨,아르테(arte),과학,1.0,290.0
9791169813488.0,오늘이 내일이면 좋겠다,남유하,사계절,시/에세이,1.0,291.0
9791139223477.0,서보영의 꿀잠요가,서보영,지식과감성,건강,1.0,292.0
9791155817742.0,사람들이 내 말에 집중하기 시작했다,로스 앳킨스,윌북,자기계발,1.0,293.0
9788964462492.0,국어교과서가 선택한 중학교 소설읽기,전국국어교사모임,해냄에듀,청소년,1.0,294.0
9788962819243.0,쉽고 빠르게 카루가루 일본어 2,김수진,파고다북스,외국어,1.0,295.0
9791171011193.0,불멸의 사유,크리스토퍼 니브,사람in,예술/대중문화,1.0,296.0
9791199064607.0,단둘이 북클럽,변혜진 외,도토리책공방,가정/육아,1.0,297.0
9791190853606.0,실패 없는 젠더 표현 가이드북,일본신문노련 젠더 표현 가이드북 편집팀,마티,정치/사회,1.0,298.0
9788937404511.0,민음사 세계문학전집 K세트: 401-440,민음사 편집부,민음사,소설,1.0,299.0
3904000503486.0,마이스 전국 축제 이야기(2025년 1월호),에쎈에스미디어 편집부,에쎈에스미디어,잡지,1.0,300.0
9791194087052.0,빅 히스토리,데이비드 크리스천,사이언스북스,과학,1.0,301.0
9791162733370.0,친애하는 나의 글쓰기,이영관 외,사회평론,시/에세이,1.0,302.0
9791138836821.0,나를 위한 아쉬탕가요가,김경석,좋은땅,건강,2.0,304.0
9791164803736.0,36.5도로 말하기,박영석,프로방스,인문,1.0,305.0
9788964462508.0,국어교과서가 선택한 중학교 소설읽기,전국국어교사모임,해냄에듀,청소년,1.0,306.0
9791198880376.0,우리 아이 첫 영단어 친해지기,김창수 외,북장단,외국어,1.0,307.0
9791197232749.0,한국미 한국의 마음,최순우,오트,예술/대중문화,1.0,308.0
9791171179664.0,이방인,알베르 카뮈,아르테(arte),소설,1.0,309.0
9791141601706.0,다만 여행자가 될 수 있다면,박완서,문학동네,시/에세이,1.0,310.0
9791194087014.0,스트레칭의 과학,리다 말렉,사이언스북스,건강,2.0,312.0
