ISBN,상품명,저자,출판사,분야,권수,누적권수
9791155817315,"마이라 칼만, 우리가 인생에서 가진 것들","마이라 칼만 (지은이), 진은영 (옮긴이)",윌북아트,국내도서>에세이>사진/그림 에세이,1.0,772.0
9788962626391,양자역학의 역사 - 아주 작은 것들에 담긴 가장 거대한 드라마,"데이비드 카이저 (지은이), 조은영 (옮긴이)",동아시아,국내도서>과학>물리학>양자역학,1.0,773.0
9791136797681,소드 아트 온라인 27 - J Novel,"카와하라 레키 (지은이), abec (그림), 한수진 (옮긴이)",서울문화사,국내도서>소설/시/희곡>라이트 노벨>제이(J) 노벨,1.0,774.0
9791191122862,과학을 보다 3 - 지식과 흥미를 한 번에 채우는 기발하고 수상한 과학책,"김범준, 지웅배, 이대한, 정영진 (지은이)",알파미디어,국내도서>과학>기초과학/교양과학,1.0,775.0
9788934972464,"사피엔스 - 유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수)",김영사,국내도서>인문학>인류학/고고학>인류학,2.0,777.0
9791191056372,돈의 심리학 (30만 부 기념 스페셜 에디션) - 당신은 왜 부자가 되지 못했는가,"모건 하우절 (지은이), 이지연 (옮긴이)",인플루엔셜(주),국내도서>경제경영>재테크/투자>재테크/투자 일반,2.0,779.0
9791193262290,린치핀 - 세상은 이들을 따른다,"세스 고딘 (지은이), 윤영삼 (옮긴이)",필름(Feelm),국내도서>자기계발>성공>성공학,1.0,780.0
9791140712250,지능의 기원 - 우리의 뇌 그리고 AI를 만든 다섯 번의 혁신,"맥스 베넷 (지은이), 김성훈 (옮긴이), 정재승 (감수)",더퀘스트,국내도서>과학>뇌과학>뇌과학 일반,1.0,781.0
9791199029811,알트코인 레볼루션,"박종한, 김동환 (지은이)",옐로우바스켓,국내도서>경제경영>재테크/투자>가상/암호화폐,1.0,782.0
9788932027265,"사람, 장소, 환대",김현경 (지은이),문학과지성사,국내도서>사회과학>사회학>사회학 일반,1.0,783.0
9791192366470,"만성염증과 독소 잡는 쿡언니네 채소 항염식 - 매일 먹는 흔한 채소의 놀라운 힘, 오늘 당장 염증 탈출 레시피 86가지",이재연 (지은이),레시피팩토리,국내도서>요리/살림>건강요리,1.0,784.0
9791139718782,"예민해서 힘들 땐 뇌과학 - 이유 없이 우울하고, 피곤하고, 아픈 HSP를 위한 5단계 치유 플랜","린네아 파살러 (지은이), 김미정 (옮긴이)",현대지성,국내도서>과학>뇌과학>뇌과학 일반,1.0,785.0
9788901276533,"나는 메트로폴리탄 미술관의 경비원입니다 (20만 부 에디션, 양장) - 경이로운 세계 속으로 숨어버린 한 남자의 이야기","패트릭 브링리 (지은이), 김희정, 조현주 (옮긴이)",웅진지식하우스,국내도서>에세이>외국에세이,2.0,787.0
9788983711892,코스모스 - 보급판,"칼 세이건 (지은이), 홍승수 (옮긴이)",사이언스북스,국내도서>과학>천문학>우주과학,2.0,789.0
9788965424765,해커스 토익 RC Reading(리딩) 기본서 - 최신기출경향 완벽 반영｜실전모의고사 4회분 [시험장에도 들고 가는 토익 RC 필수 어휘 & 단어암기 MP3 제공],David Cho (지은이),해커스어학연구소(Hackers),국내도서>외국어>토익>Reading,2.0,791.0
9791136797599,소드 아트 온라인 프로그레시브 8 - J Novel,"카와하라 레키 (지은이), abec (그림), 박용국 (옮긴이)",서울문화사,국내도서>소설/시/희곡>라이트 노벨>제이(J) 노벨,1.0,792.0
9788932473901,이기적 유전자 - 40주년 기념판,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이)",을유문화사,국내도서>과학>생명과학>생명과학,2.0,794.0
9791130653136,나라는 세계,"키드 투생 (지은이), 아블린 스토카르 (그림), 이보미 (옮긴이)",놀,국내도서>청소년>청소년 문학>청소년 소설,1.0,795.0
9791130653129,내 안의 나,"키드 투생 (지은이), 아블린 스토카르 (그림), 이보미 (옮긴이)",놀,국내도서>청소년>청소년 문학>청소년 소설,1.0,796.0
9788957365793,EBS 다큐프라임 자본주의,EBS 자본주의 제작팀 (지은이),가나출판사,국내도서>경제경영>경제학/경제일반>경제이론/경제사상,2.0,798.0
9791155817612,도쿄 호텔 도감,"엔도 케이 (지은이), 서하나 (옮긴이)",윌북,국내도서>에세이>사진/그림 에세이,1.0,799.0
9788917235944,ETS 토익 단기 공략 750+ (LC + RC) - 기출문제 한국 독점출간 / 기출 문항으로 보강된 단기완성 시리즈 / 본책 + 해설집 + 실전 모의고사 1회분 + 무료 MP3 파일,ETS (지은이),(주)YBM(와이비엠),국내도서>외국어>토익>실전,2.0,801.0
9791186745786,내가 의대에서 가르친 거짓말들 - 건강을 책임진다고 믿었던 현대 의학은 어떻게 우리를 더 병들게 했는가,"로버트 러프킨 (지은이), 유영훈 (옮긴이)",정말중요한,국내도서>건강/취미>건강정보>건강에세이/건강정보,1.0,802.0
9791193401378,쓸수록 선명해진다 - 내 안의 답을 찾아 종이 위로 꺼내는 탐험하는 글쓰기의 힘,"앨리슨 존스 (지은이), 진정성 (옮긴이)",프런트페이지,국내도서>인문학>책읽기/글쓰기>글쓰기,1.0,803.0
9791169851206,생각의 도약 - 평범함을 뛰어넘는 초효율 사고법,"도야마 시게히코 (지은이), 전경아 (옮긴이)",페이지2(page2),국내도서>자기계발>창의적사고/두뇌계발,1.0,804.0
9791130698199,맡겨진 소녀,"클레어 키건 (지은이), 허진 (옮긴이)",다산책방,국내도서>소설/시/희곡>세계의 소설>아일랜드소설,2.0,806.0
9788984374942,미로 속 아이,"기욤 뮈소 (지은이), 양영란 (옮긴이)",밝은세상,국내도서>소설/시/희곡>프랑스소설,1.0,807.0
9791193506981,아이의 뇌 - 뇌과학에서 찾아낸 4가지 양육 원칙,김붕년 (지은이),포레스트북스,국내도서>좋은부모>육아>육아법/육아 일반,1.0,808.0
9791194246503,세스 고딘의 전략 수업,"세스 고딘 (지은이), 안진환 (옮긴이)",쌤앤파커스,국내도서>경제경영>기업 경영>경영전략/혁신,1.0,809.0
9791166188787,경찰 헌법도약 최근 3개년 헌법판례정리 (25년 1차 경찰시험대비 최신판) - 일반경찰.경찰간부 시험 대비,이국령 (지은이),윌비스(미래와사람 한림법학원),국내도서>수험서/자격증>공무원 수험서>경찰공무원(승진)>기타 과목,1.0,810.0
9791165045913,상한 감정 버리기 - 감정을 감성으로 리셋하라,도은미 (지은이),규장(규장문화사),국내도서>종교/역학>기독교(개신교)>기독교(개신교) 신앙생활>신앙생활일반,1.0,811.0
9788965421030,해커스 보카 (Hackers Vocabulary) - 토플ㆍIELTSㆍ텝스ㆍ공무원ㆍSATㆍ특목고ㅣ단어암기 어플 및 시험지 생성 프로그램 무료 제공,David Cho (지은이),해커스어학연구소(Hackers),국내도서>외국어>토플>실전,2.0,813.0
