ISBN,상품명,저자,출판사,분야,권수,누적권수
9791135433245,인생의 마지막 순간에서 :죽음과 죽어감에 관한 실질적 조언 ,샐리 티스데일 지음 ;박미경 옮김,로크미디어,영미문학,2,315
9788936433697,위저드 베이커리 =구병모 장편소설 /Wizard bakery ,지은이: 구병모,창비,한국문학,2,317
9788992729819,악의 교전 =Lesson of the evil,기시 유스케 지음 ;한성례 옮김,느낌이 있는 책,일본문학 및 기타 아시아 제문학,2,319
9788973815579,잡동사니 ,에쿠니 가오리 지음 ;신유희 옮김,태일소담,일본문학 및 기타 아시아 제문학,2,321
9788972754398,내가 그를 죽였다 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,일본문학 및 기타 아시아 제문학,2,323
9788968330155,눈물을 그치는 타이밍 :삶이 때로 쓸쓸하더라도 ,글·사진: 이애경,백도씨,한국문학,2,325
9788952766496,50가지 그림자 :해방,E L 제임스 지음 ;박은서 옮김,시공사,영미문학,2,327
9788926794234,비블리아 고서당 사건수첩,미카미 엔 지음 ;최고은 옮김,디앤씨미디어,일본문학 및 기타 아시아 제문학,2,329
9788963713656,홍천기 :정은궐 장편소설 ,지은이: 정은궐,파란미디어,한국문학,2,331
9788972751465,사이언스? :히가시노 게이고 에세이 ,지은이: 히가시노 게이고 ;옮긴이: 김은모,현대문학,일본문학 및 기타 아시아 제문학,2,333
9788972758990,매스커레이드 나이트 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,일본문학 및 기타 아시아 제문학,2,335
9791160405422,탱크 :김희재 장편소설 ,지은이: 김희재,한겨레엔,한국문학,2,337
9791197563621,나는 매일 블로그로 출근한다 :쓸수록 인생이 바뀌는 블로그 글쓰기 ,한혜진 지음,사이다경제,문학,2,339
9788934984566,사소한 변화 ,지은이: 히가시노 게이고 ;옮긴이: 권일영,김영사,일본문학 및 기타 아시아 제문학,2,341
9788937427831,돌연한 출발 :프란츠 카프카 단편선 ,지은이: 프란츠 카프카 ;옮긴이: 전영애,민음사,독일문학,2,343
9791196222628,회색 인간 ,지은이: 김동식,요다,한국문학,2,345
9788983920683,해리포터와 마법사의 돌,조앤 K. 롤링 지음 ;김혜원 옮김,문학수첩,영미문학,2,347
9788972757719,직업으로서의 소설가 :무라카미 하루키 자전적 에세이 ,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,현대문학,일본문학 및 기타 아시아 제문학,2,349
9788954685030,훌훌 :문경민 장편소설 ,지은이: 문경민,문학동네,한국문학,2,351
9791187749165,저지먼트 =고바야시 유카 장편소설 /Judgement ,지은이: 고바야시 유카 ;옮긴이: 이영미,예문아카이브,일본문학 및 기타 아시아 제문학,2,353
